,Page,Members,Message,Date,Interactions,hrefs
78,renpa2015,454 Followers,"#新型コロナ アメリカで非科学的な反ワクチンキャンペーンが巧妙なネット戦略でコロナの収束努力を妨害しそうだということ、科学リテラシーが重要だ！ Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 17, 2020",0,https://twitter.com/renpa2015/status/1261961633510768642
79,Naresh Minocha Lockdown makes ...,"1,103 Followers","Anti- #vaccine #movement could undermine efforts to end #coronavirus #pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 17, 2020",0,https://twitter.com/nmleo1/status/1261937781435219968
80,Open Vaccines,35 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn. Answer is governments making it a necessity to work https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",0,https://twitter.com/OpenVaccines/status/1261803071786479618
81,(((kath2cats))),"1,293 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn | Nature https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",0,https://twitter.com/kath2cats/status/1261680470586097672
82,Indian By Choice,47 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",0,https://twitter.com/jamalsanmustafa/status/1261678143997272064
83,#GOPWorksForRubles,"1,868 Followers","Why rushing a vaccine could have far-reaching consequence. What good is a vaccine that causes more fear than comfort? Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",0,https://twitter.com/BlueWaver910/status/1261624228199219202
84,WendyM,76 Followers,"“If there’s already fewer COVID-19 infections by then, it’s going to be a hard sell,” says Larson. “The thing that’s going to change people’s minds is if the government says that if you have the vaccine, you can go to work.” https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",0,https://twitter.com/_Deo_gratias/status/1261497629369909248
85,Kristen Zambo,"1,121 Followers","Anti-vaccine movement could undermine efforts to end #coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",0,https://twitter.com/KristenZambo/status/1261494292830474241
86,perpetuousdreams,13 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",0,https://twitter.com/IbCexi/status/1261464154050662400
87,John Lalonde,488 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",0,https://twitter.com/wanuga/status/1261451570488565760
88,ClimateThinker,"1,066 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",0,https://twitter.com/dezignerchat/status/1261450969767911424
89,F 4 Fake,56 Followers,"Ustedes conocen mi compromiso incondicional con los derechos humanos, pero acá yo correría balazo https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/MikePyth0n/status/1261411478990553091
90,Cath Ennis,"3,666 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/enniscath/status/1261407105988227072
91,Rob Soltysik,654 Followers,No vaccines should be developed until it is understood how SARS-CoV-2 works. https://www.nature.com/articles/d41586-020-01423-4,"May 15, 2020",0,https://twitter.com/soltysik_rob/status/1261374650912776192
92,Daily Rotation,"1,329 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/dailyrotation/status/1261355241489887234
93,Reclaru Lucien,209 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/Reclaru/status/1261251708669353984
94,Serena Fossati,35 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/SerenaFossatiMD/status/1261200298976124928
95,Antonio Calhau,248 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/AGCalhau/status/1261193169032613889
96,davekyte,81 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/davekyte/status/1261168394973446144
97,Justus Wesseler,180 Followers,"Yes, indeed, a threat: Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/justuswesseler/status/1261162943250604032
98,Aaron Gibson,47 Followers,"Anti-Vaccine Movement Could Prolong Coronavirus Pandemic, Researchers Warn - Scientific American https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/awgfilm/status/1261136429234651137
99,Patricia Wiltshire,657 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",0,https://twitter.com/PEJWiltshire/status/1261097890174382080
100,Alejandro Sophila 🎲³ 💚,"6,416 Followers",@NicoSegoviaC https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",0,https://twitter.com/bicubico/status/1261067013121810432
