fb_uid	label_vax	name	category	fan_count	is_unclaimed	verification_status	link	posts.data.created_time	location.city	location.street	location.country	location.longitude	location.latitude	location.located_in	location.state	location.zip	concat.geography	capture_timestamp
1545759445686159	Pro Vaccination	Pro-Vaccine Memes in the Style of Anti-Vaccine Memes	Community	3014	FALSE	not_verified	https://www.facebook.com/Pro-Vaccine-Memes-in-the-Style-of-Anti-Vaccine-Memes-1545759445686159/	2019-02-08T02:57:37Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:16:58Z
1567250336620158	Pro Vaccination	5 Anchors Vaccines	Medical Company	275	FALSE	not_verified	https://www.facebook.com/5anchorsinc/	2019-07-11T12:03:07Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:17:40Z
158736074209471	Pro Vaccination	Vaccinate New Hampshire	Community	316	FALSE	not_verified	https://www.facebook.com/VaccinateNH/	2019-09-27T12:00:01Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:18:21Z
1673590939532730	Pro Vaccination	I fucking love vaccines	Community	985	FALSE	not_verified	https://www.facebook.com/welovevaccines/	2015-03-03T15:30:10Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:19:02Z
168088163375088	Pro Vaccination	Thank You, Vaccine Developers	Community	346	FALSE	not_verified	https://www.facebook.com/Thanks2Vaccines/	2019-09-30T14:21:47Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:19:42Z
171299949904818	Pro Vaccination	On the Fence About Vaccines	Community	1630	FALSE	not_verified	https://www.facebook.com/VaxFenceSitter/	2019-08-26T17:39:26Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:20:23Z
336247929834997	Pro Vaccination	Vaccination Myths Debunked	Community	3070	FALSE	not_verified	https://www.facebook.com/VaccinationsDebunked/	2019-09-30T17:00:02Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:21:04Z
346786758747449	Pro Vaccination	Vaccination against the Anti-vaccination virus (vaavv / WOW)	Community	67	FALSE	not_verified	https://www.facebook.com/vaavv/	2013-08-30T07:18:58Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:21:45Z
353553331512814	Pro Vaccination	Vaccinate California	Community	4061	FALSE	not_verified	https://www.facebook.com/vaccinatecalifornia/	2019-09-30T15:37:39Z	NA	NA	NA	-120.9375	33.13755	NA	NA	NA	NA	2019-10-01T00:22:26Z
355271311278236	Pro Vaccination	Autistic Despite Vaccinated	Car Dealership	543	FALSE	not_verified	https://www.facebook.com/Autistic-Despite-Vaccinated-355271311278236/	2015-09-10T18:25:15Z	London	NA	United Kingdom	NA	NA	NA	NA	NW1 3EJ	NA	2019-10-01T00:23:07Z
439783256101612	Pro Vaccination	Center for Vaccine Development, University of Maryland	College & University	803	FALSE	not_verified	https://www.facebook.com/CVDatUMB/	2019-09-30T18:55:06Z	Baltimore	685 W Baltimore St	United States	-76.62636	39.28892	NA	MD	21201-1509	NA	2019-10-01T00:23:48Z
1380693538867364	Pro Vaccination	We Love GMOs and Vaccines	Science Website	210577	FALSE	not_verified	https://www.facebook.com/welovegv/	2019-09-30T23:28:52Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:24:29Z
1777348279216089	Anti Vaxxination	thesmartchoice.com - Safe Mercury Amalgam Removal Technique	Health & Wellness Website	11310	FALSE	not_verified	https://www.facebook.com/thesmartchoicecom/	2019-09-30T18:07:01Z	NA	NA	NA	-84.375	27.68353	NA	NA	33896	NA	2019-10-01T00:25:10Z
1824241204521658	Pro Vaccination	Vaccine Awareness Coalition	Medical Service	345	FALSE	not_verified	https://www.facebook.com/vaccineawarenesscoalition/	2019-09-29T15:30:11Z	Longview	405 E. Marshall Ave.	United States	-94.73482	32.50108	NA	TX	75601	NA	2019-10-01T00:25:50Z
185599234833755	Pro Vaccination	Vaccinated and Awesome	Community	1486	FALSE	not_verified	https://www.facebook.com/VaccinatedAndAwesome/	2019-02-18T20:08:50Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:26:31Z
189311151162286	Pro Vaccination	Summer School on Vaccinology for students	Community College	769	FALSE	not_verified	https://www.facebook.com/SumVax/	2019-09-16T11:19:49Z	Antwerp	NA	Belgium	4.40229	51.16277	142548169178715	NA	NA	NA	2019-10-01T00:27:12Z
192295850843261	Pro Vaccination	Vaccines Turned Me Into A Newt	Medical Company	681	FALSE	not_verified	https://www.facebook.com/AntivaxwallofshameII/	2014-01-05T22:12:01Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:27:53Z
