,Page,Members,Message,Date,Interactions
104,samuella,667 Followers,"What if a #Covid19 #vaccine is approved for widespread use & half the country refuses to take it? Given the #coronavirus' death toll, should people be required to take it before being allowed to fly, attend school or enter certain businesses? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",0
105,Joseph Yaroch 🧙‍♂️🌹🩺,305 Followers,You know it's misinformation when it's about something that doesn't exist yet. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
106,Anita M endeman (#PrismSofia R...,882 Followers,Get Ready for a Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",0
107,Shaun Dakin #ClimateAction,"3,548 Followers",Get Ready for a Vaccine Information War - The New York Times https://nzzl.us/NY7tRfT via @nuzzel thanks @bwgorham,"May 13, 2020",0
108,Daniel Kingwell,787 Followers,Unbelievable that this is a thing. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/NJD2XoO2zO,"May 13, 2020",0
109,General Porgana,246 Followers,"I've been thinking about this a lot lately. The pandemic has certainly brought out some of my more asshole pedant tendencies, but... I think this is why. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",0
110,Stephen Ames Berry,"68,627 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",0
111,Esther ten Wolthuis,"5,666 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",0
112,Mother on the Verge,667 Followers,@michellemalkin The war for top dow control.. a war for minds! https://www.nature.com/articles/d41586-020-01423-4?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29 https://www.nature.com/articles/s41586-020-2281-1 https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
113,アンドレア,422 Followers,Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",0
114,Anne,621 Followers,Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",0
115,Angela Gargano,367 Followers,Super interesting (and kind of scary) read from ⁦@nytimes⁩ https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
116,David,13 Followers,Prepárate para una guerra de información sobre vacunas https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
